id,value
id_0,25.2741213347
id_1,64.8711589193
id_2,18.646632741
id_3,28.9065689885
id_4,9.47914778147
id_5,29.2069187529
id_6,40.3202595725
id_7,16.4188452761
id_8,50.5375716409
id_9,32.262665858
id_10,38.1623170914
id_11,59.6374997505
id_12,32.6166296925
id_13,36.5242510755
id_14,26.7213294874
id_15,12.5558621133
id_16,49.6419563356
id_17,24.049260481
id_18,14.5577436878
id_19,16.0531539158
id_20,15.1960257006
id_21,28.9308497497
id_22,37.5188028554
id_23,13.0690311202
id_24,64.8473340533
id_25,46.6407612966
id_26,26.2721469279
id_27,8.50803026238
id_28,28.860015983
id_29,35.9300628522
id_30,14.7084151153
id_31,10.8379293819
id_32,16.5909480368
id_33,9.20448905788
id_34,16.4147444443
id_35,38.8372053937
id_36,20.5436912993
id_37,26.7581101811
id_38,10.2851848908
id_39,60.4223967938
id_40,46.6079449908
id_41,22.6209878279
id_42,53.7285246201
id_43,18.8601693427
id_44,45.3585075713
id_45,47.7855890709
id_46,56.1360575981
id_47,41.3479820819
id_48,56.675458059
id_49,38.6880795507
id_50,28.7994466142
id_51,22.7737482635
id_52,40.237292922
id_53,24.2360628523
id_54,36.6380032332
id_55,40.2541475373
id_56,23.5199795532
id_57,20.2373554708
id_58,36.2825247827
id_59,32.2200840138
id_60,11.8291807501
id_61,22.7513342763
id_62,30.8715877465
id_63,53.4042271781
id_64,51.0076576258
id_65,25.3875617377
id_66,37.8495973573
id_67,50.5707497927
id_68,28.1300623654
id_69,35.0959276781
id_70,66.333152011
id_71,54.6472964952
id_72,42.3210047775
id_73,13.9352358367
id_74,11.8057661421
id_75,35.6078170899
id_76,62.3466069643
id_77,4.02328104288
id_78,41.2711589145
id_79,40.2161751982
id_80,9.52743614328
id_81,21.175144461
id_82,6.60669652177
id_83,32.2586216361
id_84,7.51317723932
id_85,7.08204183728
id_86,17.1008141349
id_87,11.8346494329
id_88,19.6523776726
id_89,23.9382797226
id_90,35.2783648676
id_91,12.0108871919
id_92,13.2377172907
id_93,11.9020327288
id_94,36.8799147776
id_95,16.5364314833
id_96,15.4355453825
id_97,9.1416293523
id_98,10.6146848246
id_99,8.75834860764
id_100,10.0567187368
id_101,19.8039580899
id_102,10.1763123118
id_103,10.1802131534
id_104,13.1689635355
id_105,36.0180321006
id_106,23.9607039086
id_107,9.47088247464
id_108,17.2203245937
id_109,16.7148342891
id_110,11.0670015837
id_111,13.5049378143
id_112,17.218814964
id_113,24.0468676171
id_114,20.2419605517
id_115,17.3811670834
id_116,9.14809973435
id_117,43.1883480624
id_118,25.3788025023
id_119,3.43161042737
id_120,2.5847118643
id_121,10.7479539205
id_122,12.1158811016
id_123,11.5733924928
id_124,7.79023256743
id_125,24.1842656983
id_126,23.0386592535
id_127,9.48384867445
id_128,18.3625458902
id_129,15.1283776244
id_130,4.02299102137
id_131,32.253002125
id_132,17.0114846189
id_133,20.1131662419
id_134,25.6901138615
id_135,23.7606462184
id_136,10.7169504281
id_137,22.9765984881
id_138,83.8192384676
id_139,60.2115377751
id_140,28.5168529047
id_141,17.8598465433
id_142,23.3344283138
id_143,8.14166288684
id_144,13.8623957746
id_145,10.7959654412
id_146,17.6352988498
id_147,8.16328055581
id_148,11.8350796116
id_149,14.4170214314
id_150,46.5393532664
id_151,19.1246012665
id_152,21.2495401783
id_153,12.2797837596
id_154,16.6398490468
id_155,24.1102437685
id_156,21.6858275867
id_157,37.2896006355
id_158,6.96810437997
id_159,20.5349893628
id_160,43.6325065789
id_161,18.4857557749
id_162,64.4894450258
id_163,16.4647895501
id_164,33.9438489693
id_165,24.4766919048
id_166,28.9839546545
id_167,2.28147990595
id_168,70.3035231994
id_169,16.7594869239
id_170,15.7900511806
id_171,76.1900338458
id_172,20.1567442599
id_173,4.03244065516
id_174,25.1304724921
id_175,2.81663013491
id_176,8.9861953523
id_177,20.7517034729
id_178,21.1123869822
id_179,22.808912179
id_180,42.836043121
id_181,32.9037741491
id_182,29.4747031648
id_183,13.5069603889
id_184,5.47459512896
id_185,41.0885852757
id_186,34.7382473592
id_187,34.493544374
id_188,14.636264239
id_189,23.6566010598
id_190,12.8619208979
id_191,14.9990413622
id_192,30.3427765559
id_193,75.5970572453
id_194,29.9182276759
id_195,12.355409231
id_196,62.9486748396
id_197,18.3193673923
id_198,19.0269433732
id_199,20.7459630743
id_200,155.604461771
id_201,24.5865370677
id_202,59.9687449534
id_203,8.12971824209
id_204,59.1168381159
id_205,32.8854737041
id_206,11.9230033848
id_207,16.1783419046
id_208,63.3202557775
id_209,16.6935594946
id_210,35.0839898452
id_211,70.9412167711
id_212,19.3000545055
id_213,92.9836575665
id_214,41.532961924
id_215,74.0189768466
id_216,104.990668477
id_217,75.0003559612
id_218,28.451696556
id_219,19.4289099987
id_220,31.189794746
id_221,52.8462590724
id_222,25.5653326478
id_223,37.4421625012
id_224,41.7838130237
id_225,8.42934865869
id_226,4.8745358764
id_227,95.4034891904
id_228,27.332913872
id_229,2.12034362842
id_230,39.309700265
id_231,14.4416179753
id_232,21.1904490929
id_233,5.29777370135
id_234,14.184170245
id_235,21.7980555052
id_236,14.3655219387
id_237,3.55779214336
id_238,22.0800489552
id_239,13.4273469212
