id,host_id,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,availability_30,number_of_reviews,host_listing_count,20-29,30-39,40-49,50-59,60-69,70-79,80-84,85-89,90-94,95-100,price,price_log
1069266,5867023,10022,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,3,21,62,1,0,0,0,0,0,0,0,1,0,0,160.0,5.075173815233827
2061725,4601412,11221,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,3,4,35,4,0,0,0,0,0,0,0,0,0,1,58.0,4.060443010546419
44974,198425,10011,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,10,1,26,1,0,0,0,0,0,0,0,0,0,1,185.0,5.220355825078324
4701675,22590025,10011,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,1,30,1,1,0,0,0,0,0,0,0,0,0,1,195.0,5.272999558563747
68914,343302,11231,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,2,11,16,2,0,0,0,0,0,0,0,0,0,1,165.0,5.10594547390058
3005360,4421803,10003,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,30,14,4,0,0,0,0,0,0,0,0,0,1,150.0,5.0106352940962555
2431607,4973668,11221,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,4,0,10,4,0,0,0,0,0,0,0,0,1,0,40.0,3.6888794541139363
234327,652642,10018,Apartment,Shared room,4,1.0,1.0,4.0,Real Bed,3,30,7,25,0,0,0,0,0,0,1,0,0,0,80.0,4.382026634673881
2000287,10303472,11213,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,29,26,3,0,0,0,0,0,0,0,0,1,0,110.0,4.700480365792417
2525956,7365834,10019,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,19,30,7,3,0,0,0,0,0,0,0,1,0,0,189.0,5.241747015059643
809929,4260203,10014,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,4,8,1,0,0,0,0,0,0,0,0,0,1,200.0,5.298317366548036
753622,869880,10003,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,5,30,6,2,0,0,0,0,0,0,0,0,1,0,95.0,4.553876891600541
1781041,9348914,10040,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,30,2,1,0,0,0,0,0,0,0,0,0,1,125.0,4.8283137373023015
4060165,1860033,10033,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,7,30,6,3,0,0,0,0,0,1,0,0,0,0,35.0,3.5553480614894135
4323940,4344968,11238,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,1,14,1,1,0,0,0,0,0,0,1,0,0,0,165.0,5.10594547390058
1832976,724988,10038,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,0,30,2,0,0,0,0,0,0,0,0,1,0,100.0,4.605170185988092
4218098,21892444,10027,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,6,2,1,0,0,0,0,0,0,0,0,0,1,110.0,4.700480365792417
4053471,3967335,11222,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,1,1,4,2,0,0,0,0,0,0,0,0,0,1,65.0,4.174387269895637
2596813,13298061,10025,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,12,11,1,0,0,0,0,0,0,0,0,0,1,150.0,5.0106352940962555
312664,5926,10030,Apartment,Entire home/apt,10,1.0,3.0,5.0,Real Bed,1,3,33,10,0,0,0,0,0,0,0,1,0,0,255.0,5.541263545158426
26229,64206,10003,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,5,29,37,1,0,0,0,0,0,0,0,0,1,0,299.0,5.700443573390687
3414741,10451037,10038,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,2,30,1,1,0,0,0,0,0,0,0,0,0,1,365.0,5.8998973535824915
1006877,72062,10009,Apartment,Entire home/apt,5,1.0,1.0,2.0,Real Bed,1,29,13,10,0,0,0,0,0,0,0,0,0,1,225.0,5.41610040220442
798391,3381805,10031,Apartment,Private room,4,1.0,1.0,1.0,Real Bed,2,0,2,1,0,0,0,0,0,0,0,0,1,0,90.0,4.499809670330265
3235070,14337132,10026,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,0,3,1,0,0,0,0,0,0,0,0,0,1,125.0,4.8283137373023015
2677222,13707331,10027,Apartment,Private room,2,1.0,1.0,1.0,Futon,2,30,20,1,0,0,0,0,0,0,0,0,1,0,109.0,4.6913478822291435
2407196,5905011,10030,House,Private room,2,1.0,1.0,1.0,Real Bed,2,0,27,1,0,0,0,0,0,0,0,0,0,1,89.0,4.48863636973214
3574160,4111729,10128,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,25,4,4,0,0,0,0,0,0,0,0,0,1,250.0,5.521460917862246
783964,2347382,11101,House,Private room,2,1.0,1.0,1.0,Real Bed,2,26,33,3,0,0,0,0,0,0,0,0,1,0,66.0,4.189654742026425
2769628,3464208,10031,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,4,14,19,3,0,0,0,0,0,0,0,1,0,0,70.0,4.248495242049359
2568017,9113389,11221,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,22,10,12,0,0,0,0,0,0,1,0,0,0,35.0,3.5553480614894135
3595080,1606560,10014,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3,30,3,1,0,0,0,0,0,0,0,0,1,0,125.0,4.8283137373023015
995373,5467851,10028,Apartment,Entire home/apt,5,1.0,1.0,1.0,Real Bed,3,28,37,1,0,0,0,0,0,0,0,0,1,0,199.0,5.293304824724492
3593884,3371804,11206,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,3,0,2,2,0,0,0,0,0,0,0,0,0,1,140.0,4.941642422609304
